simetride	Simetrid
diethylene glycol monoethyl ether	Diethylenglykolmonoethylether
amlexanox	Amlexanox
Generation effect	Generationseffekt
property of clotting on the addition of thrombin	Eigenschaft,unter Thrombinzusatz zu gerinnen
tioctilate	Tioctilat
donor centre	Spendezentrum
cingulate gyrus	Gyrus cinguli
forensic scientist	forensischer Wissenschaftler|Forensiker
retroregulation	Retroregulation
care in the community	Community Care
community care	Community Care
to deliver the corrected gene in vivo	In-vivo-Einbringung des korrigierten Gens
refractory coeliac disease	refraktäre Zöliakie
systemic toxicity test	Prüfung auf systematische Toxizität
test for systemic toxicity	Prüfung auf systematische Toxizität
molecular sub-cloning	molekulare Unterklonierung
enzyme engineering	Enzymtechnik
non-pathological hereditary characteristic	nicht pathologisches vererbtes Merkmal
donor rate	Spenderrate
axon terminal	Axonendigung
Intergovernmental Negotiating Body	zwischenstaatliches Verhandlungsgremium
INB	zwischenstaatliches Verhandlungsgremium
bone marrow film	Knochenmarkverteilung
setting of implementation	Implementierungs-Setting
TK6 human lymphoblastoid cell	menschliche Lymphoblastoidzelle TK6
child psychiatry	Kinder- und Jugendpsychiatrie
smear-preparation	Ausstrichpräparat
functional receptor	funktionsfähiger Rezeptor
red bone marrow preserved in glycerol	rotes Knochenmark|mit Glycerin stabilisiert
isoaminile	Isoaminil
place of slaughter	Schlachtplatz
animal delivered in container	in Containern angeliefertes Tier
cheilo-gnatho-palatoschisis	Lippen-Kiefer-Gaumen-Spalte
mutator gene	Mutator-Gen
cultivation of plants	Pflanzenzucht
obstetrical and gynecologic ultrasound	Echotomographie der weiblichen Geschlechtsorgane
clinical medicine	klinische Medizin
angiotensin converting enzyme	Angiotensinkonversionsenzym|ACE|Angiotensin Conversions-Enzym
ACE	Angiotensinkonversionsenzym|ACE|Angiotensin Conversions-Enzym
HIPE	Befragung von Krankenhauspatienten
hospital inpatient enquiry	Befragung von Krankenhauspatienten
air embolism	Luftembolie
no smoking area	Nichtraucherbereich
redness	Rubor|Röte|Rötung
bromebric acid	Bromebrinsäure
shyness	Schüchternheit
timidity	Schüchternheit
flow	Atemströmung
algestone	Algeston
blood clotting protein	antihämophiles Globulin|Faktor VIII
factor VIII	antihämophiles Globulin|Faktor VIII
AHF	antihämophiles Globulin|Faktor VIII
antihaemophilic factor	antihämophiles Globulin|Faktor VIII
antihemophilic factor	antihämophiles Globulin|Faktor VIII
AHG	antihämophiles Globulin|Faktor VIII
antihaemophilic globulin	antihämophiles Globulin|Faktor VIII
antihemophilic globulin	antihämophiles Globulin|Faktor VIII
carebastine	Carebastin
Carr-Price reaction	Carr-Price Reaktion
bed services panel	Installationseinheit|Krankenzimmer-Versorgungseinheit
skin grafts	Hautlappen
Adaptation	Anpassung|Adaptation
potomania	Trunksucht
hypervolaemia	Hypervolämie
hypervolemia	Hypervolämie
ex-drug user	ehemaliger Drogenabhängiger
former drug addict	ehemaliger Drogenabhängiger
agropharmaceuticals	Agrarpharmazeutik
expiratory depth	Expirationsvolumen
ca-15-3 antigen	CA 15-3|Karzinom-assoziiertes Antigen mit besonderer Spezifität für das Mamakarzinom
Codman’s triangle	Codman-Dreieck
lipreading training	Uebung im Mundablesen
common name	gebräuchlicher Name
glutaraldehyde	Glutaraldehyd
baby food	Kindernährmittel
infant food	Kindernährmittel
hospital-only medicine	Arzneimittel nur für den Krankenhausbedarf
gonadal epithelium	Keimdrüsenepithel
Kader gastrostomy	Kader Fistel|Kader Magenfistel|Kader Gastrostomie
Kader fistula	Kader Fistel|Kader Magenfistel|Kader Gastrostomie
flushing urinal equipment	Urinalausstattung
imanixil	Imanixil
Relative odds	relative `Odds'|relative Verhältnisziffern
APA	Abnahmegarantie
advance purchase agreement	Abnahmegarantie
spinal cord	Rückenmark
ability of virus to infect	Infektiosität von Viren
single injection	Einzelinjektion
disease management pathway	Behandlungspfad zum Disease-Management-Programm
anomia	Verlust des Namensgedächtnisses
skin sensitising effect	Hautsensibilisierungswirkung
reduced rate of performance	Arbeitsleistungsminderung
reduced efficiency	Arbeitsleistungsminderung
reduced job performance	Arbeitsleistungsminderung
decrease of working quality	Arbeitsleistungsminderung
Sector for Regulatory Affairs and Pharmacovigilance	Bereich Zulassungsrechtliche Angelegenheiten und Pharmakovigilanz
behaviour disorder	Verhaltensstörung
skin ageing	beschleunigte Hautalterung|premature skin ageing|accelerated skin ageing
premature skin ageing	beschleunigte Hautalterung|premature skin ageing|accelerated skin ageing
accelerated skin ageing	beschleunigte Hautalterung|premature skin ageing|accelerated skin ageing
maintenance treatment	Weiterbehandlung durch die fortgesetzte Verabreichung
standard radioactive source	radioaktiver Prüfstrahler
carbasalate calcium	Carbasalatcalcium
genemap	Genkarte
gastro-hepatic omentum	kleines Netz|Omentum minus
lesser omentum	kleines Netz|Omentum minus
HDL	HDL|Lipoprotein höherer Dichte
high-density lipoprotein	HDL|Lipoprotein höherer Dichte
anaplasmosis	Anaplasmose|Gallenseuche
gall sickness	Anaplasmose|Gallenseuche
hypothenar	Ballen
hypothenar eminence	Ballen
superficial fat	Oberflächenfett
R-enzyme	R-Enzym
total loss	Gesamtverluste
trichotillomania	Haarausreißen|Trichotillomanie
negative opinion	negatives Gutachten
eltoprazine	Eltoprazin
Community tuberculin unit	Gemeinschaftstuberkulineinheit
CTU	Gemeinschaftstuberkulineinheit
premature infants' habitus	Frühgeborenenhabitus|Frühgeburtenhabitus
adenine requiring mutants	adeninabhängige Mutanten
first aid for the drowned	erste Hilfe bei Ertrinkung
Henderson operation	Henderson-Operation
aloin	Aloin
arginine hydrochloride	Argininhydrochlorid
heparin	Heparin
mutation	Mutation
stability against pollution impact	Stabilität gegenüber Schadstoffwirkungen
health certificate	Genusstauglichkeitsbescheinigung
bullar functioning	Funktion des Riechkolbens
suspected unexpected serious adverse reaction	mutmaßliche unerwartete schwerwiegende Nebenwirkung
SUSAR	mutmaßliche unerwartete schwerwiegende Nebenwirkung
Rare Disease Day	Tag der seltenen Krankheiten
tricaine mesilate	Tricainmesilat
lanatoside C	Lanatosid C
n-butane	n-Butan
phenadoxone	Phenadoxon
heroin addiction	Heroinismus|Heroinsucht
desonide	Desonid
Safety Gate rapid alert system	Safety Gate|Schnellwarnsystem der EU für gefährliche Non-Food-Produkte – „Safety Gate“
Safety Gate	Safety Gate|Schnellwarnsystem der EU für gefährliche Non-Food-Produkte – „Safety Gate“
levamisole	Levamisol
dextran sulfate	Dextransulfat
anti-env antibody	Virushüllantikörper
areflexia	Areflexie
antinuclear autoantibodies	antinukleare Antikörper|ANA
ANA	antinukleare Antikörper|ANA
penethamate	Penethamat
mass vaccination campaign	Impfkampagne|Massenimpfkampagne
vaccination campaign	Impfkampagne|Massenimpfkampagne
mass campaign	Impfkampagne|Massenimpfkampagne
with multiple disabilities	mehrfachbehindert
synthesis and secretion of proteins	Herstellung und Sekretion von Proteinen
Coxsackie virus	Coxsackie-Virus|C-Virus
Committee on Medical and Public Health Research	Ausschuss für medizinische Forschung und öffentliches Gesundheitswesen|CRM
CRM	Ausschuss für medizinische Forschung und öffentliches Gesundheitswesen|CRM
metabolic profile	Stoffwechselprofil
umbilical vessel test	Nabelgefäßtest|Nabelgefäßprobe
feline leukemia virus	Virus der Katzenleukämie
intestinal diseases	Krankheiten der Verdauungswege
Cancer Inequalities Registry	Register der Ungleichheiten bei der Krebsbekämpfung
dimantine	Dimantin
peptic ulcer	Magengeschwür
non-target volume	nicht als Zielvolumen geltender Körperbereich
pidotimod	Pidotimod
magnesium orotate	Magnesiumorotat
intensity of noise	Lautheit
loudness	Lautheit
volume of noise	Lautheit
elongation	Elongation|Elongationsphase
photoreactivation	Photoreaktivierung
photorecovery	Photoreaktivierung
photoreversal	Photoreaktivierung
weekly epidemiological bulletin	epidemiologisches Wochenbulletin
cobalt carbonate	Kobaltcarbonat
Latin square	Lateinisches Quadrat
seizure	fokale Epilepsie
adaptation curve	Adaptogramm
karyoplast	Karyoplast
European Network of Official Medicines Control Laboratories	Europäisches Netzwerk Amtlicher Arzneimittelkontrollaboratorien
pre-embryo created by natural means	natürlich erzeugter Präembryo
antibiotics administered ... in pellet form	in Bolus-Form verabreichte Antibiotika
Hecker law	Hecker Gesetz
orthosis	Orthese
area which is subject to prohibition	Gebiet, das tierseuchenrechtlichen Verboten unterliegt
nanofin	Nanofin
polyclonal antiserum	polyklonales Antiserum
sufferer from leprosy	Leprakranker
multiple logistic model	multiples logistisches Modell
Efficiency	Wirkungsgrad|Effizienz
somatic gene therapy	somatische Gentherapie
central venous access catheter	ZVK|zentraler Venenkatheter
CVAC	ZVK|zentraler Venenkatheter
central venous line	ZVK|zentraler Venenkatheter
central vascular catheter	ZVK|zentraler Venenkatheter
CVC	ZVK|zentraler Venenkatheter
central line	ZVK|zentraler Venenkatheter
central venous catheter	ZVK|zentraler Venenkatheter
bluetongue virus	Bluetongue-Virus|Blauzungenvirus|BTV
BTV	Bluetongue-Virus|Blauzungenvirus|BTV
endoscopic retrograde pancreato-cholangiography	endoskopische retrograde Pankreatiko-Cholangiographie|ERPC
ERPC	endoskopische retrograde Pankreatiko-Cholangiographie|ERPC
medical examination lamp	Ärzteleuchte|Untersuchungsleuchte
anterior chamber aspiration	Vorderkammerpunktion
virus-like particle	virusähnliches Teilchen
VLP	virusähnliches Teilchen
actuarial rate	versicherungsstatistische Sterberate
constant-flow automatic injection device	automatischer Injektionsapparat mit konstantem Durchfluss
licensing and regulation of events	Genehmigung und Regelung von Veranstaltungen
forced expiratory flow at 50% of vital capacity	Atemstromstärke bei 50% der Vitalkapazität|Atemstromstärke bei Hälfte der Exspiration|mittelexspiratorischer Fluß bei 50% der VK|maximaler exspiratorischer Fluß bei 50%|FEF50
FEF<sub>50</sub>	Atemstromstärke bei 50% der Vitalkapazität|Atemstromstärke bei Hälfte der Exspiration|mittelexspiratorischer Fluß bei 50% der VK|maximaler exspiratorischer Fluß bei 50%|FEF50
maximal expiratory flow at 50% of vital capacity	Atemstromstärke bei 50% der Vitalkapazität|Atemstromstärke bei Hälfte der Exspiration|mittelexspiratorischer Fluß bei 50% der VK|maximaler exspiratorischer Fluß bei 50%|FEF50
FEF<sub>50%</sub>	Atemstromstärke bei 50% der Vitalkapazität|Atemstromstärke bei Hälfte der Exspiration|mittelexspiratorischer Fluß bei 50% der VK|maximaler exspiratorischer Fluß bei 50%|FEF50
MEF<sub>50</sub>	Atemstromstärke bei 50% der Vitalkapazität|Atemstromstärke bei Hälfte der Exspiration|mittelexspiratorischer Fluß bei 50% der VK|maximaler exspiratorischer Fluß bei 50%|FEF50
hyperlipaemia	Hyperlipämie|Hyperlipidämie
hyperlipidaemia	Hyperlipämie|Hyperlipidämie
half-life in humans	Halbwertzeit im Menschen
polysorbate 1	Polysorbat 1
convulsivant action	krampferzeugende Wirkung
reporter gene	Reportergen|Indikatorgen
indicator gene	Reportergen|Indikatorgen
radionuclide	Radionuklid|radioaktives Nuklid
radio-nuclide	Radionuklid|radioaktives Nuklid
mersalyl	Mersalyl
buccopharyngeal membrane	Membrana pharyngica|Membrana buccopharyngea
sertindole	Sertindol
phoxim	Phoxim
<i>O</i>-{[cyano(phenyl)methylidene]amino} <i>O</i>,<i>O</i>-diethyl phosphorothioate	Phoxim
scintigraphy	Szintigraphie
karyotype stability	Karyotypstabilität
monometacrine	Monometacrin
millijoule of energy	tausendstel Joule|Millijoule
fully refurbishing	Neuaufbereitung
iron-binding phenolic compound	eisenbindende Phenolverbindung
in vivo test for genetic damage	in-vivo Test für Genschäden
psychiatric nursing	psychiatrische Krankenpflege
stratification	Stratifikation
perceptive	von der Wahrnehmung her|wahrnehmungsmaessig
dihydroergotamine	Dihydroergotamin
tazasubrate	Tazasubrat
swivelase	unwinding-Protein|entschraubendes Protein
W	Anzahl der Helixwindungen
writhing number	Anzahl der Helixwindungen
amcinafide	Amcinafid
vindesine	Vindesin
complex fistula	komplexe Fistel
fenbendazole	Fenbendazol
trisaccharide	Trisaccharid
anti-rheumatic	Antirheumatikum
histological data	histologischer Befund
floor surface of perchery	Bodenfläche durch Volieren
loop	Ring
cross-product ratio	Quotient des Kreuzproduktes
natural isotope satellite	natürlicher Isotopensatellit
Measurement scale	Meßskala
bometolol	Bometolol
human gene mapping	Kartierung des menschlichen Genoms
human genome mapping	Kartierung des menschlichen Genoms
vincristine sulphate	Vincristinsulphat
MMS	Methylmethansulfonat|MMS
methyl methanesulphonate	Methylmethansulfonat|MMS
arousal	Reizreaktion|Wachheit|Erregung
nuchal ligament	Nackenband
B lymphocyte	B-Lymphozyt|B-Zelle
B cell	B-Lymphozyt|B-Zelle
dorsal horn	Hinterhorn
chromosomal locus	Chromosom-Locus
ovariotome	Kastriermesser|Ovariotom
keratoma	Keratoma|Keratoncus
pharmacochemistry	pharmazeutische Chemie
pharmaceutical chemistry	pharmazeutische Chemie
decontamination equipment	Dekontaminiereinrichtungen
iodotyrosine	Jodtyrosin
L-ascorbic acid	L(-)-Ascorbinsäure|L-Askorbinsäure|E 300
E 300	L(-)-Ascorbinsäure|L-Askorbinsäure|E 300
vitamin C	L(-)-Ascorbinsäure|L-Askorbinsäure|E 300
master seed lot	Master Seed|Originalsaatviren (Mater Seed)
master seed	Master Seed|Originalsaatviren (Mater Seed)
ecological analysis	aggregative Analyse
Paratenic host	Transportwirt ohne Weiterentwicklung des Erregers|Zwischenwirt ohne Weiterentwicklung des Erregers
COX2 inhibitor	Superaspirine|COX-2-Hemmer
super aspirin	Superaspirine|COX-2-Hemmer
pleural effusion	Hydrops pleurae|Pleuraerguss
gene probe	Gensonde
biometry	Biometrie
prospective study	prospektive Studie.Längsschnittstudie
alpha receptor	Alpharezeptor
foetus immaturus	Fetus immaturus
atovaquone	Atovachon
strychnine	Strychnin
storage of associative memory	Aufbau eines assoziativen Gedächtnisses
Test of significance	Signifikanztest
mercuderamide	Mercuderamid
maintaining mental activity	Erhalt geistiger Regsamkeit
short-lived radioactive isotope	kurzlebiges radioaktives Isotop
local infiltration	lokale Infiltration
cell death	Absterben von Zellen|Zelltod
heterometabolous	heterometabol
heterometabolic	heterometabol
ASB	Arbeiter-Samariter-Bund
Workers' Samaritan Federation	Arbeiter-Samariter-Bund
Arbeiter-Samariter-Bund	Arbeiter-Samariter-Bund
molecular modelling	Molekül-Modellierung
secretion	Sekretion
design ergonomics	Beachtung ergonomischer Gesichtspunkte im Konzeptionsstadium
myalgia	Myalgie
muscular rheumatism	Myalgie
previously treated patients	zuvor behandelte Patienten
PTP	zuvor behandelte Patienten
bretylium tosilate	Bretyliumtosilat
auditory feedback	Eigenhoeren
ear-to-voice link	Eigenhoeren
lopirazepam	Lopirazepam
subjective noise audiometer	subjektiver Geraeuschlautstaerkemesser
noise audiometer	subjektiver Geraeuschlautstaerkemesser
labetalol	Labetalol
plaque	Fleck|plaqueartige Effloreszenz
metabolite	Stoffwechselprodukt|Metabolit
lodaxaprine	Lodaxaprin
positive serodiagnosis	positive Serodiagnostik
Computer-Aided Surgery	computergestützte Chirurgie
Overmatching	Overmatching
fever virus reservoir	Reservoir des Virus des Fiebers
protein-calorie malnutrition	PEM|Protein-Energie-Mangelsyndrom
PCM	PEM|Protein-Energie-Mangelsyndrom
idenast	Idenast
resting expiratory level	Atemmittellage
apparatus for trunk exercises	Geraet zum Bewegen des Brustkorbes
norandrosterone	Norandrosteron
fixation medium	Fixierungsmedium|Medium|Fixierungsmittel|Fixativ|Fixiermittel
bamaquimast	Bamachimast
source-skin distance	QHA|Quelle-Haut-Abstand
SSD	QHA|Quelle-Haut-Abstand
passive behaviour	passives Verhalten
misdiagnosis	Fehldiagnose
ecophysiological study	ökophysiologische Untersuchung
isotope therapy	Isotopentherapie
cefoxazole	Cefoxazol
motion cycle	Bewegungszyklus
cotrimoxazole	Bactrim|Cotrimoxazol
